DISTRICT,ACTIVITY,DATE,RATING,PARTY,ASSEMBLY
Nilgiris,"The Chairman of the Cuddalore Association, Mr. Tiravithamani, presented the rice and vegetables to the Cuddalore Union Thevarsolai Baroorasi Padundarai Colony in the presence of Mr. Madhav, the Secretary of the Cuddalore. #OndrinaivomVaa",08/05/2020,2.83,DMK,Unassigned
Nilgiris,"On the advice of the President of the Nilgiris District Secretary, Mr. Bamboo Mubarak, the Secretary of the Kotagiri Union, Mr. Nellai Kannan, distributed rice and groceries to the shaving workers. #OndrinaivomVaa",08/05/2020,2.83,DMK,Unassigned
Nilgiris,"On the advice of the President of the Nilgiris District Secretary, Mr. Bamboo Mubarak, the Secretary of the Kotagiri Union, Mr. Nellai Kannan distributed rice and groceries to the people of Gandhinagar. #OndrinaivomVaa",08/05/2020,2.83,DMK,Unassigned
Nilgiris,"On the advice of the Chairman of the Association, Nilgiris District Secretary, Mr. Bamboo Mubarak, the Deputy Secretary of the District Mr. Ravi Kumar distributed gourmet vegetables and groceries to the needy people in Udakai Town, Upper Bazaar and Hospital Road. #OndrinaivomVaa",08/05/2020,2.83,DMK,UDHAGAMANDALAM
Nilgiris,"On the advice of the Chairman of the Association, Mr. NMP Mubarak, the District Secretary of Nilgiris, Mr. Randall Vincent, the organizer of the district student organizer, distributed essential items to about 300 families in the Cuddalore area. #OndrinaivomVaa",08/05/2020,2.83,DMK,Unassigned
Nilgiris,"At the behest of the Association, the Nilgiris District Secretary, Mr. Bamboo Mubarak handed out bags of rice to the families of the tea plantation workers of the Kathi Peruranchi Arakkad tea estate. #OndrinaivomVaa",08/05/2020,2.83,DMK,Unassigned
Tiruppur,"The Chairman of the Association, Tirupur (District) District Secretary, Mr. K. Selvaraj, presented the rice and vegetables to 500 families in the presence of the Municipal Trustee Mr. Nagarasan and the Area Trustee Mr. Govindaraj in the organizing of the Nallur area. #OndrinaivomVaa",09/05/2020,3.46,DMK,Unassigned
Tiruppur,"The Chairman of the Association, Secretary of the Policy Policy, Mr. @ dmk_raja MP, distributed rice to the poor people in the Avanasi Assembly constituency at Kunjai Tamarakulam. #OndrinaivomVaa",09/05/2020,2.83,DMK,Unassigned
Tiruppur,"The Chairman of the Association, Mr. K Selvaraj, the District Secretary, Tirupur, distributed vegetables to 1000 families in the presence of Mr. Nagarasan, the Mayor in charge of the Velampalayam area. #OndrinaivomVaa",09/05/2020,4.24,DMK,Unassigned
Tiruppur,"On the order of the Chairman of the Association, Tirupur Southern District Secretary Mr. Ila Padmanabhan, District Engineer Mr.Papukkannan presented 5 kg of rice to each of 300 poor families in the 4th Ward of Tarapuram. #OndrinaivomVaa",09/05/2020,3.16,DMK,TIRUPPUR (SOUTH)
Tiruppur,"Chairman of the Association, Tirupur, Northern District Secretary, Mr. K. Selvaraj, presented the rice and vegetables to 500 families in the presence of Mr. Nagarasan, the Mayor in charge of the Nallur area Youth Organizer, Mr. Ashokumar. #OndrinaivomVaa",09/05/2020,3.16,DMK,Unassigned
Tiruppur,"Chairman of the Association, Tirupur Northern District Secretary Mr. K. Selvaraj distributed vegetables to 1000 families in the presence of Mr. Nagarasan, the Mayor in charge of the Velampalayam area. #OndrinaivomVaa",09/05/2020,4.24,DMK,TIRUPPUR (NORTH)
Tiruppur,"Chairman of the Association, Tirupur (Southern) District Secretary, Mr. Ila Padmanabhan, presented the bags of rice to 9100 families in eight panchayats of the KANGAYAM South Union organized by the Association's Higher Executive Committee. #OndrinaivomVaa",09/05/2020,5.2,DMK,KANGAYAM
Coimbatore,200 shaving workers in Mettupalayam town provided essential items.,10/05/2020,2.83,DMK,Unassigned
Coimbatore,Rice and groceries were given to the people of Wallapura Rolling Estate.,10/05/2020,2.83,DMK,Unassigned
Coimbatore,District Adivasi welfare committee organizer Mr. Thevendran and Valparai town organizer Mr. Dharmaraj led by Coimbatore (The) TDP Thirunal Selvaraj distributed rice and vegetables to 40 families in Attakatti.,10/05/2020,1.73,DMK,VALPARAI
Coimbatore,"Rice, vegetable and groceries were provided to 150 trucking workers at Mettupalayam.",10/05/2020,2.83,DMK,METTUPPALAYAM
Coimbatore,"Relief items were provided to 90 families in Odandurai Panchayat, Kallar.",10/05/2020,2,DMK,Unassigned
Coimbatore,Inauguration of 10 tonnes of rice for poor people at the Mettupalayam MP office in Nilgiris parliamentary constituency.,10/05/2020,2.83,DMK,METTUPPALAYAM
Coimbatore,"Mettupalayam Block, No 2, Cuddalore Perur 15 Ward Secretary Mr. C. Kripakaran provided relief goods to the people who sought the assistance of the Corporation.",10/05/2020,1.41,DMK,Unassigned
Coimbatore,"Mr. S. Surendran, the caretaker of the Karamadai (May) Union, distributed relief goods to poor families who sought the assistance of the Association through #OndrinaivomVaa.",10/05/2020,1.41,DMK,METTUPPALAYAM
Coimbatore,Karandai Western Union Women Organizer Senthami Selvi and Women's Volunteer Organizer Amuda delivered essential items to poor people through #OndrinaivomVaa,10/05/2020,1.41,DMK,Unassigned
Coimbatore,"Mr. S. Surendran, the caretaker of the Karamadai (May) Union, distributed relief goods to poor families who sought the assistance of the Association through #OndrinaivomVaa.",10/05/2020,1.41,DMK,METTUPPALAYAM
Coimbatore,The driver of the car in Chikkadasambayalayam panchayat provided relief items to 35 people,10/05/2020,1.73,DMK,Unassigned
Coimbatore,"The Chairman of the Association, Mr. T.R.Shanmugasundaram, headed by Mr. R.R. Venkatesh, Secretary, Karamur, distributed relief materials to 227 families",10/05/2020,2.83,DMK,Unassigned
Coimbatore,"Thekkampatti Panchayat, Kitampalayam Arundathiyar provided relief items to families in the colony.",10/05/2020,1.73,DMK,Unassigned
Coimbatore,"On the advice of the President of the Association, the District Secretary of Coimbatore, Mr. C.R.Ramachandran, on the advice of the District Secretary, Mrs. Thirumiku.Sumathi Ramesh, provided essential items to the people who sought the assistance of the Association through #OndrinaivomVaa",10/05/2020,1.41,DMK,Unassigned
Coimbatore,"As per the direction of the Chairman of the Association, the executives of the Corporation have provided essential items to Rangasamy, Valliyammal and Maheshwari who sought the assistance of the Association through the #OndrinaivomVaa.",10/05/2020,1.41,DMK,Unassigned
Coimbatore,Kurumbanur Arundathiyar provided relief items to 175 families in the colony.,10/05/2020,2.83,DMK,Unassigned
Coimbatore,He distributed relief items to 60 families residing in the 12th Ward of Karamadai.,10/05/2020,1.73,DMK,METTUPPALAYAM
Coimbatore,"Relief items distributed to 350 families in Chundikaraiputhur, Adimamathiyanur area",10/05/2020,3.16,DMK,Unassigned
Coimbatore,"Relief items were distributed to 500 families in the presence of Mr. Muthusamy, the Chairman of the Panchayat.",10/05/2020,3.16,DMK,Unassigned
Coimbatore,"250 families were provided relief items at the Kullukkapayalai panchayat under the arrangement of Mr.Murdhavel, Union Secretary of the Pollachi Division.",10/05/2020,2.83,DMK,Unassigned
Coimbatore,"100 shawers belonging to Anaimalai Barur were given rice and groceries by Mr. Srinivasan, the trustee of Perur Corporation.",10/05/2020,2.83,DMK,Unassigned
Coimbatore,Mettupalayam City Secretary Mr. S. Mohammed Younis provided relief supplies to poor families who sought help from the Association through #OndrinaivomVaa.,10/05/2020,1.41,DMK,METTUPPALAYAM
Coimbatore,"On the advice of the Coimbatore District Secretary, Mr. C.R.Ramasandran, the Union Executive Committee Member, Mr. TR Shanmukasundaram, Union Councilor Mr. Shanmukasundaram Gokul Prasad offered relief items to those who sought the assistance of the Corporation.",10/05/2020,1.41,DMK,Unassigned
Coimbatore,Relief items were provided to 257 families in the Arundhatiyar colony in Pungampalayam.,10/05/2020,2.83,DMK,Unassigned
Coimbatore,Mettupalayam City Secretary Mr. S. Mohammed Younis provided relief goods to poor families who sought help from the Corporation through #OndrinaivomVaa,10/05/2020,1.41,DMK,METTUPPALAYAM
Coimbatore,Jadhampalayam UC Thiru Rajendran and OC Councilor Mr.Shanmukasundaram provided relief items to families who sought help through #OndrinaivomVaa.,10/05/2020,1.41,DMK,Unassigned
Coimbatore,Relief items were distributed in the 24th Circle in the presence of District Agriculture Officer Mr.Tankavel,10/05/2020,1.73,DMK,Unassigned
Coimbatore,"Under the guidance of Mr. M Muthushami, Trustee of Coimbatore West, Mr. Saravanampatti area student organizer Mr. Palanisamy distributed relief items to the people who sought the assistance of the Association.",10/05/2020,1.41,DMK,Unassigned
Coimbatore,"Mr. SMT Kalyanasundaram, the trustee of the Karamada (K) Union, and Mr. TR Shanmukasundaram, the chief executive member of the committee, provided food to 800 poor people.",10/05/2020,3.16,DMK,METTUPPALAYAM
Coimbatore,"Indrani, Rajendran and Alexander sought relief from the Corporation through the #OndrinaivomVaa on the advice of the District Secretary of Coimbatore, Mr. C.R.Ramachandran.",10/05/2020,1.41,DMK,Unassigned
Coimbatore,Sukanya sought the assistance of the IT Wing of Mettupalayam Assembly constituency and gave relief items to Vijaya.,10/05/2020,1.41,DMK,METTUPPALAYAM
Coimbatore,The President of the Coimbatore Municipal District (K) District TNA Mr. Karthik MLA delivered essential items to 352 poor families in Kottamadam for the participation of PK Thiru Manokaran on behalf of the Youth Youth Organization headed by Mr. Kotte Abbas.,10/05/2020,3.16,DMK,Unassigned
Coimbatore,MLA Abbas provided food to 1000 people in Selvapuram.,10/05/2020,4.24,DMK,Unassigned
Tiruppur,"The Chairman of the Corporation, Mr. Selvaraj of the North Central Provincial Council, presented rice and vegetables to 60 other disabled persons in the presence of the Municipal Trustee Mr. Nagarasan on behalf of the 55th Circle Corporation of the Uva Govt. #OndrinaivomVaa",10/05/2020,2,DMK,Unassigned
Tiruppur,"The Chairman of the Association, Tirupur, Northern District Secretary, Mr. K. Selvaraj, distributed rice and vegetables to 500 families in the presence of the Municipal Trustee Mr. Nagarasan in the presence of the Annur Union, Akkarai Sengappally Panchayat Secretary R. Ilamurugan. #OndrinaivomVaa",10/05/2020,3.16,DMK,Unassigned
Tiruppur,"Southern Province Secretary Mr. Ila Padmanabhan and Madathukkulam MLA Mr. R. Jayaramakrishnan presented rice and vegetables to 1000 families in Udumalaipettai (K) Union, Elayamuthur Panchayat Council Chairman Mr. EK Marimuthu Organization. #OndrinaivomVaa",10/05/2020,4.58,DMK,Unassigned
Tiruppur,"On the recommendation of the Chairman of the Association, Tirupur (Southern) District Secretary Mr. Ila Padmanabhan, the Higher Level Executive Committee Member of the Corporation Mr.MBP Saminathan distributed rice bags and food items to the eight panchayats of the KANGAYAM (The) Union. #OndrinaivomVaa",10/05/2020,2.83,DMK,KANGAYAM
Tiruppur,"On the orders of the Chairman of the Association, Tirupur Southern District Secretary Mr. Ila Padmanabhan distributed essential items including rice, lentils and eggs to 520 poor and humble families in the Mulanoor Union and Peraiyam panchayats. Associate Administrators. #OndrinaivomVaa",10/05/2020,3.46,DMK,TIRUPPUR (SOUTH)
Tiruppur,"On the advice of the Chairman of the Association, Tirupur Southern District Secretary Mr. Ila Padmanabhan, Chairman of the Association, Mr. MMP Saminathan presented the rice bags to the people of KANGAYAM township. #OndrinaivomVaa",10/05/2020,2.83,DMK,KANGAYAM
Tiruppur,Essential items were provided to the family of textile workers from the Malayandikaikuntanur area on behalf of the Udumalai Information Technology Team on the advice of the Tirupur South District Corporation Secretary Mr. P Padmanabhan. #OndrinaivomVaa,10/05/2020,2.83,DMK,Unassigned
Tiruppur,"Citizens Union, Tottampatti, Pottaiyampalayam, Pottaiyampalayam, Pottaiyampalayam, has supplied vegetables and essentials to 600 poor and simple families. (2/2) #OndrinaivomVaa",10/05/2020,3.16,DMK,Unassigned
Nilgiris,"On the advice of the Chairman of the Association, the Deputy Secretary of the Nilgiris District, Mr. Bamu Mubarak, headed by District Secretary Mr. Thamilchelvan distributed food to the poor people in Selas and Nehru Nagar. #OndrinaivomVaa",10/05/2020,2.83,DMK,Unassigned
Nilgiris,"Cuddalore MLA Mr.Diravithamani, under the direction of the President of the Association, headed by Union Secretary Mr.Sivanandarajah, distributed the IT team to Mr. Senthil Kumar, providing vegetables to 200 working families from the Amankavu area. #OndrinaivomVaa",10/05/2020,2.83,DMK,Unassigned
Tiruppur,"Chairman of the Association, Tirupur (District) District Secretary, Mr. K. Selvaraj distributed rice and vegetables to 750 families in the presence of the Municipal Trustee Mr. Nagarasan in the presence of the President of the Annoor Union, Kanuvukkarai Panchayat Council Mr. Gandhimati Subramaniam. #OndrinaivomVaa",10/05/2020,3.46,DMK,Unassigned
Coimbatore,"On the advice of the Chairman of the Association, Mr. K Karthik MLA, the Mayor of the Coimbatore Municipal District, on the advice of RS Puram Area Secretary VP Selvaraj, 15 families were provided with rice and vegetables on behalf of the 76 Round Club.",11/05/2020,1.73,DMK,Unassigned
Coimbatore,"Periyaneyakanpayam Union Club executives and pro-team executives provided medical assistance, financial aid and relief goods to people who sought the club's support through #OndrinaivomVaa.",11/05/2020,1.41,DMK,Unassigned
Coimbatore,"Mr. Vinod and Mr. Praveen, IT team executives at Kalubarthi provided relief items to the people who sought the assistance of the Corporation.",11/05/2020,1.41,DMK,Unassigned
Coimbatore,Saravanampatti area student organizer Mr. Palanisamy distributed relief items to people who sought help from the club.,11/05/2020,1.41,DMK,Unassigned
Coimbatore,"Mr. Rangasamy, the 28th Circle Secretary of the Saravanampatti Division, on the advice of the Coimbatore West District Trustee, Mr. Muthukamy, distributed relief items to the people who sought the assistance of the Corporation.",11/05/2020,1.41,DMK,Unassigned
Coimbatore,"On the advice of the Western District Superintendent, Mr. M Muthushami, the 35th Circle Secretary of Saravanampatti, Mr. Gunasekar offered relief items to the people who sought the assistance of the Corporation",11/05/2020,1.41,DMK,Unassigned
Coimbatore,"On the advice of the Chairman of the Association, Mr. K Muthukamy, the Trustee of the Western District of Coimbatore, Mr. Kathirvel, the 31st Circle Secretary, Saravanampatti, distributed relief items to the people who sought the assistance of the Corporation.",11/05/2020,1.41,DMK,Unassigned
Coimbatore,"On the advice of the Chairman of the Association, Mr.W.Muttusamy, the trustee of the Kovai Western District, Mr.Santha Raj, the 30th Circle Secretary of the Saravanampatti area, gave relief items to the people who sought the assistance of the Corporation.",11/05/2020,1.41,DMK,Unassigned
Coimbatore,10 families were provided with rice and groceries on behalf of the 88 Round Club headed by Kuniamuthur PB Thiru.C Loganathan.,11/05/2020,2.83,DMK,Unassigned
Coimbatore,"On the instructions of Mr. VP Selvaraj, Area Secretary, RS Puram, rice, vegetables and groceries were presented on behalf of the 23 Round Club",11/05/2020,2.83,DMK,Unassigned
Coimbatore,"Periyanaanpayam Corporation administrators and pro-team executives provided medical assistance, financial aid and relief goods to people who sought the assistance of the Corporation through #OndrinaivomVaa.",11/05/2020,1.41,DMK,Unassigned
Coimbatore,"Mr. K. Sivakumar, Deputy Chairman of the school and Mr. Surendran distributed relief items to 450 families in the Elakampalayam area.",11/05/2020,3.16,DMK,Unassigned
Coimbatore,"Mr. K. Sivakumar, Vice President of the Pallepalayam Panchayat and Mr. Surendran distributed relief items to 450 families in the Neelipalayam area.",11/05/2020,3.16,DMK,Unassigned
Coimbatore,"Periyaneyakanpayam Union Club executives and pro-team executives provided medical assistance, financial aid and relief goods to people who sought the club's support through #OndrinaivomVaa.",11/05/2020,1.41,DMK,Unassigned
Coimbatore,Karyanjettipalayam inaugurated a feeding program for 1050 persons.,11/05/2020,4.24,DMK,Unassigned
Tiruppur,Union President Thiruppuram District Secretary Mr. Ila Padmanabhan presented a bag of rice to 500 families in the Pollachi Tea (Northern) Union and Unjewelampatti panchayat area. #OndrinaivomVaa,11/05/2020,3.46,DMK,Unassigned
Tiruppur,"The Chairman of the Association, Tirupur Southern District Secretary Mr. Ila Padmanabhan, Member of the Higher Level Executive Committee of the Corporation, Mr. M.P.Saminathan distributed 5 kg of rice bags to the 6400 poor and marginalized families in KANGAYAM. #OndrinaivomVaa",11/05/2020,5.48,DMK,KANGAYAM
Tiruppur,"Southern District Secretary Mr. Ila Padmanabhan, on the orders of the Chairman of the Association, distributed vegetables to 2,000 families in Kondampatti, Ilupanagaram Panchayat area under the auspices of the District Engineer, Mr. C. Siyambrasad. #OndrinaivomVaa",11/05/2020,4.58,DMK,Unassigned
Tiruppur,Southern District Secretary Mr. Ila Padmanabhan on the orders of the Chairman of the Association handed over a bag of rice to the residents of the Auto and Freight Vehicle Workers' Development Association of the Tarapuram suburbs under the direction of Mr. Subramani. #OndrinaivomVaa,11/05/2020,2.83,DMK,Unassigned
Tiruppur,"Pollachi The (Northern) Union, belonging to Udumalai, supplied rice and vegetable essentials to 200 families in the Chinnampalayam panchayat area. (2/2) #OndrinaivomVaa",11/05/2020,2.83,DMK,UDUMALAIPETTAI
Tiruppur,"On the advice of the Chairman of the Association, Mr. Ila Padmanabhan, the Southern District Secretary of Tirupur, Mr. KM Saminathan, a member of the Higher Executive Committee of the Corporation, distributed rice bags to the people of KANGAYAM town. #OndrinaivomVaa",11/05/2020,2.83,DMK,KANGAYAM
Nilgiris,"The Chief Election Working Committee Secretary Mr. K.Ramachandran distributed rice, vegetables and groceries to 150 families in the Ambikapuram area. #OndrinaivomVaa",11/05/2020,2.83,DMK,Unassigned
Nilgiris,"The Chairman of the Association, Nilgiris District Secretary PB Mubarak, distributed the essential commodities to 200 families in Indira Nagar, Kanikaraj Nagar under the jurisdiction of the Coonoor Union. #OndrinaivomVaa",11/05/2020,2.83,DMK,COONOOR
Nilgiris,"The Chairman of the Association, Cuddalore legislator Mr.Travithamani, provided relief assistance to 300 families in the Ovali panchayat area. Co-chaired by Mr.M.Pandiyarajan, Union Secretary Mr.Aliyagath Ali and Parur Secretary Mr.Murukuvaiya. #OndrinaivomVaa",11/05/2020,2.83,DMK,Unassigned
Nilgiris,"On the advice of the Chairman of the Nilgiris District Secretary, Mr. Bamboo Mubarak, the Chairman of the Corporation, Mr. G. Billan distributed vegetable packages to 300 poor people. #OndrinaivomVaa",11/05/2020,2.83,DMK,Unassigned
Nilgiris,"On the advice of the Chairman of the Association Nilgiris District Secretary, Mr. Bam Mubarak, Kothari Union Secretary Mr. Kannan provided welfare assistance to the people of Kamaraj Nagar. Co-operatives and club mates. #OndrinaivomVaa",11/05/2020,2.83,DMK,Unassigned
Nilgiris,Cuddalore legislator Mr.Diravithamani distributed vegetables and essentials to about 300 families along the Marapal Bridge. #OndrinaivomVaa,11/05/2020,2.83,DMK,Unassigned
Nilgiris,"Chairman of the Association Essential items were provided to 200 families in the Vampire Estate and MGR Colony area under the direction of Mr. Thamizhelvan, District Secretary, Ramesh. #OndrinaivomVaa",11/05/2020,2.83,DMK,Unassigned
Coimbatore,Vegetables were provided to 200 families under the Anaimalai Kampalapatti Panchayat.,12/05/2020,2.83,DMK,Unassigned
Coimbatore,"The KARTIC MLA provided food to 400 poor people living in the 37th Ward, Pandal and Vinobaji Nagar areas, including rice.",12/05/2020,3.16,DMK,Unassigned
Coimbatore,"The 55th Ward, Puliyagulam donated food to the families of 200 poor people living in Thamunagar, including rice.",12/05/2020,2.83,DMK,Unassigned
Coimbatore,"In the 78th Ward, Selvapuram, the families of the 600 poor people of the North Karthik MLA distributed food items including rice, pulses, groceries and vegetables.",12/05/2020,3.46,DMK,Unassigned
Coimbatore,"100 families were provided with relief items under the leadership of MR Udayakumar, Secretary, Sirumugai Perur Corporation.",12/05/2020,2.83,DMK,Unassigned
Coimbatore,"Lata Manchu, who sought help from the club through #OndrinaivomVaa, provided essential items to Vijayakumari.",12/05/2020,1.41,DMK,Unassigned
Coimbatore,Mettupalayam City Secretary Mr. S. Mohammed Younis provided relief supplies to poor families who sought help from the Association through #OndrinaivomVaa.,12/05/2020,1.41,DMK,METTUPPALAYAM
Coimbatore,He provided rice and vegetables to 1500 people in Mettupalayam. Associate Administrators.,12/05/2020,4.58,DMK,Unassigned
Coimbatore,"On the advice of the President of the Association, the Northern District Secretary of Coimbatore, Mr. C.R.Ramachandran, gave the essential items to Saravanan, who sought the assistance of the Council through the #OndrinaivomVaa.",12/05/2020,1.41,DMK,COIMBATORE (NORTH)
Coimbatore,"On the advice of the President of the Corporation, the Northern District Secretary of Coimbatore, Mr. C.R.Ramachandran, the Secretary of the Karamadai (May) Union, Mr. S. Surendran distributed financial assistance and essentials to those who sought the assistance of the Corporation through #OndrinaivomVaa.",12/05/2020,1.41,DMK,METTUPPALAYAM
Coimbatore,"On the advice of the Chairman of the Association, Mr.WM Muthusamy, Trustee of the Coimbatore District, Mr. Saravanampatti area student organizer Mr. Palanisamy distributed relief items to the people who sought the assistance of the Association.",12/05/2020,1.41,DMK,Unassigned
Coimbatore,"Rangasamy, the 28th Circle Secretary of the Saravanampatti area, gave relief items to the people who sought the assistance of the Association on the advice of the Chairman of the Association, Mr. Muthu Muthusamy.",12/05/2020,1.41,DMK,Unassigned
Coimbatore,"Union Secretary Su Surendran distributed rice to 120 families in the Adoorivaravidar colony, Medur.",12/05/2020,2.83,DMK,Unassigned
Coimbatore,"On the advice of the President of the Association, Mr. C.R.Ramachandran, District Secretary of Coimbatore, Mr. Meena Jayakumar, State Women's Thondarani Assistant Organizer, distributed rice and vegetables to 150 families in Mettupalayam block, Karamadai West Kaliyur.",12/05/2020,2.83,DMK,METTUPPALAYAM
Coimbatore,Trustee of Karamadai (K) Union inaugurated the event providing relief items to 700 families in Vachinampalayam,12/05/2020,3.46,DMK,METTUPPALAYAM
Coimbatore,President of Pollachi Northern Union Okkilipalayam Panchayat Council Mr. Pari Sarathi served lunch to 500 persons.,12/05/2020,3.16,DMK,POLLACHI
Coimbatore,"Mr. Roach, an assistant to Mr. R. Irasa MP, inaugurated the event to provide relief items to 580 poor families in the Arundhatiyar colony in Mettupalayam. Associate Administrators",12/05/2020,3.16,DMK,METTUPPALAYAM
Coimbatore,"On the advice of the Chairman of the Corporation, the Northern District Secretary of Coimbatore, Mr. C.R.Ramachandran, on the advice of the Periyanekanapayam Union Corporation and the Pro Team Team, provided medical assistance, financial aid and relief items to the people who sought the assistance of the Association.",12/05/2020,1.41,DMK,COIMBATORE (NORTH)
Coimbatore,"In accordance with the order of the Chairman of the Association, Mrs. K.R.Ramachandran, the Commanding Officer of the Association, donated relief items to 100 families in the 2nd Ward of the Kudalur Pararukshi, 2nd Ward of the District Women's Volunteer Organization, in the arrangement of the ODU.",12/05/2020,2.83,DMK,Unassigned
Coimbatore,"On the instructions of the Chairman of the Coimbatore Municipal Council in Coimbatore, Mr. N Karthik MLA, the IT team administered 5 kg of rice vegetables to the 50 girls of Ganapati Area 45th Circle.",12/05/2020,2,DMK,Unassigned
Coimbatore,"On the instructions of the Chairman of the Corporation, Coimbatore Municipal East District Collector, Mr. N Karthik MLA, on behalf of the Ganapathi Area 47 Circle, the Corporation administrators distributed 5 kg of rice and vegetables to 200 families.",12/05/2020,3.16,DMK,Unassigned
Coimbatore,"As per the direction of the head of the Coimbatore Municipal Corporation, Coimbatore, MK Thirunakkumar Karthik MLA, on behalf of the Kuniyamuttur area, C. Lokanathan distributed 70 rice, vegetables and groceries to 93 families on behalf of the area corporation.",12/05/2020,2,DMK,Unassigned
Coimbatore,"On the advice of Mr. CR Ramachandran, Saravanampatti area trustee Mr. Krishnan arranged for 1078 families to be provided with food and drink at Periyanayakanpayam Union 24 Veerabandi Panchayat.",12/05/2020,4.24,DMK,Unassigned
Coimbatore,"On the advice of the Chairman of the Association, Mr. K Muthukamy, the Trustee of the Western District of Coimbatore, Mr. Kathirvel, the 31st Circle Secretary, Saravanampatti, distributed relief items to the people who sought the assistance of the Corporation. Chairman of the Roundtable Association Mr. Veeraasamy.",12/05/2020,1.41,DMK,Unassigned
Coimbatore,"On the advice of the Chairman of the Association, Mr. Thernell Selvaraj, District Collector of Coimbatore, Mr. Purakrishnan, Deputy Secretary of Perur, distributed rice and vegetables to 120 families, including Anaimalai Barur, which was affected by the curtailment.",12/05/2020,2.83,DMK,Unassigned
Tiruppur,"Under the direction of the Chairman of the Association, the District Secretary of the Southern Province, Mr. Ila Padmanabhan, Member of the Higher Executive Committee of the Corporation Mr.MBP Saminathan presented 5 kg of rice bags to 9100 poor families in Kangayam South Union. # Makkalpaniyiltimuka",12/05/2020,5.48,DMK,Unassigned
Tiruppur,"Thirumaurugan Poondi O P SR Palanisamy, on the advice of Thirupur (V) Maj. Thiru KK Selvaraj, on the orders of the Chairman of the Association, distributed rice to 250 families in Aditiratavarkalani area in Uppilipalayam. # Makkalpaniyiltimuka",12/05/2020,3.16,DMK,Unassigned
Tiruppur,"Pollachi South (W) Union Secretary Mr. SN Kandiappan on the advice of Tirupur Southern District Secretary Mr. Ila Padmanabhan, handed over 5 kg of rice and vegetables to the people of Solapalayam Urachchi Devi Nagar. # Makkalpaniyiltimuka",12/05/2020,2.83,DMK,TIRUPPUR (SOUTH)
Tiruppur,"On the recommendation of the Chairman of the Association, Tirupur Southern District Secretary Mr. Ila Padmanabhan presented the bags of rice to the Kangayam South Union Territory. # Makkalpaniyiltimuka",12/05/2020,2.83,DMK,TIRUPPUR (SOUTH)
Tiruppur,"On a recommendation by the Chairman of the Association, Tirupur Southern District Secretary Mr.L.Padmanabhan gave food to 500 people at Periyakottai Panchayath Mariamman City, Udumalai, under the leadership of City Secretary Mr.M.Madheen. # Makkalpaniyiltimuka",12/05/2020,3.16,DMK,TIRUPPUR (SOUTH)
Nilgiris,"Vegetables were supplied to Vasukinagar, Valluvar Nagar, Vasanthamnagar, Vasamballum public. Prakash, Rajeshwari, Manoharan and Corporation Executives with Panchayat Ward members. (2/2)",12/05/2020,2.83,DMK,Unassigned
Coimbatore,Karasamadi (May) OCS Surendran and Union Accountability Committee member Ganesan donated relief items to 300 families in Tholampalayam area.,13/05/2020,2.83,DMK,Unassigned
Coimbatore,"Rice, vegetables and relief items were distributed to 150 families in the Tholampalayam panchayat area.",13/05/2020,2.83,DMK,Unassigned
Coimbatore,"Rice, vegetables and relief items were distributed to 300 families in Mettupalayam block",13/05/2020,3.16,DMK,METTUPPALAYAM
Coimbatore,"Rice, vegetables and relief items were provided to 350 families in Mettupalayam block",13/05/2020,3.16,DMK,METTUPPALAYAM
Coimbatore,"Rice and vegetables supplied to 350 families in Mettupalayam block, Iluppanatham Panchayat, Murugan Colony",13/05/2020,3.16,DMK,METTUPPALAYAM
Coimbatore,"On the advice of Ba Na Budhur Regional Officer WM Shanmugasundaram, 150 women were provided with milk to mothers in the 18th Circle on behalf of the Women's Team Mrs. Saraswathi",13/05/2020,2.45,DMK,Unassigned
Coimbatore,"As per the guidance of Kuniyamuttur area trustee C.Lokanathan, 20 families were provided with rice and vegetables on behalf of the 91 Roundtable Corporation.",13/05/2020,1.73,DMK,Unassigned
Coimbatore,"On the instructions of Puram Area Secretary VP Selvaraj, 12 families were provided with rice, vegetables and groceries on behalf of the 24 circular corporation.",13/05/2020,1.73,DMK,Unassigned
Coimbatore,"On behalf of the UN Budhur area, VM Shanmugasundaram distributed 5 kg of rice and vegetables to 850 families in 16,17 circles.",13/05/2020,3.74,DMK,Unassigned
Coimbatore,"Secretary to the Union of Northern Thondaamuthur, Coimbatore @DmkSenathipathi Under their leadership, 600 Kg of vegetables were supplied to 600 people in Thenmamanallur Budhur Colony",13/05/2020,2.83,DMK,Unassigned
Coimbatore,"On the instructions of RSPuram Area Secretary VP Selvaraj, 22 families were provided rice, vegetables and groceries on behalf of 76 circulars.",13/05/2020,1.73,DMK,Unassigned
Coimbatore,"Relief items were distributed in the Vadasithur panchayat in the presence of the Southern Union District Trustee Mr.Tendral Selvaraj in the presence of Mr. A. Durai, Secretary, Eastern Union, Kinnakkadavu.",13/05/2020,2.83,DMK,KINATHUKADAVU
Tiruppur,"The Chairman of the Association, Southern District Secretary Mr. Ila Padmanabhan, headed by the Chairman of the Association, Mr. MMP Saminathan, Member of the Higher Action Committee of the Association, distributed 5 kg of rice bags to 4053 families in Chennimalai Union area. # Makkalpaniyiltimuka",13/05/2020,5.2,DMK,Unassigned
